,Long Entry,Long Exit,Profits(Per Share),Return ratios,Sharpen ratios,Average days,Average days to achieve return ratio,Long Entry,Long Exit,Profits(Per Share),Return ratios,Sharpen ratios,Average days,Average days to achieve return ratio
0005.HK,1.0,1.0,2.9000015258789062,0.08333337900739163,-0.02823829400878162,71.0,0.0,1.0,1.0,2.9000015258789062,0.08333337900739163,-0.02823829400878162,71.0,0.0
1299.HK,1.0,1.0,2.8499984741210938,0.032349585964615714,0.011997323730033663,22.0,68.27272727272727,1.0,1.0,2.8499984741210938,0.032349585964615714,0.011997323730033663,22.0,68.27272727272727
0700.HK,2.0,1.0,29.0,0.03304843304843305,-0.00265834506058962,1.0,58.07692307692308,2.0,1.0,29.0,0.03304843304843305,-0.00265834506058962,1.0,58.07692307692308
0941.HK,0.0,0.0,0.0,0.0,-0.026200288565979748,0.0,21.285714285714285,0.0,0.0,0.0,0.0,-0.026200288565979748,0.0,21.285714285714285
3988.HK,6.0,5.0,0.4999995231628418,0.028686145797351403,-0.027942895786136568,27.0,3.2,6.0,5.0,0.4999995231628418,0.028686145797351403,-0.027942895786136568,27.0,3.2
0939.HK,5.0,3.0,0.5900001525878906,0.02199031510494292,-0.027872280271537247,28.666666666666668,3.0,5.0,3.0,0.5900001525878906,0.02199031510494292,-0.027872280271537247,28.666666666666668,3.0
1398.HK,5.0,4.0,0.7700004577636719,0.0311741078424964,-0.031529533819826684,10.25,6.333333333333333,5.0,4.0,0.7700004577636719,0.0311741078424964,-0.031529533819826684,10.25,6.333333333333333
2318.HK,1.0,1.0,2.2000045776367188,0.03335867595813978,-0.017686295866871697,2.0,149.8,1.0,1.0,2.2000045776367188,0.03335867595813978,-0.017686295866871697,2.0,149.8
0388.HK,0.0,0.0,0.0,0.0,0.014055777064025799,0.0,19.3,0.0,0.0,0.0,0.0,0.014055777064025799,0.0,19.3
0883.HK,0.0,0.0,0.0,0.0,-0.00026848479377198796,0.0,8.0,0.0,0.0,0.0,0.0,-0.00026848479377198796,0.0,8.0
0011.HK,0.0,0.0,0.0,0.0,-0.026748831693999338,0.0,10.571428571428571,0.0,0.0,0.0,0.0,-0.026748831693999338,0.0,10.571428571428571
0027.HK,3.0,3.0,8.700000762939453,0.06439674952776532,0.002346688506086157,18.333333333333332,263.3333333333333,3.0,3.0,8.700000762939453,0.06439674952776532,0.002346688506086157,18.333333333333332,263.3333333333333
0066.HK,0.0,0.0,0.0,0.0,-0.014256678899902673,0.0,11.424242424242424,0.0,0.0,0.0,0.0,-0.014256678899902673,0.0,11.424242424242424
0083.HK,1.0,1.0,0.46000003814697266,0.0410714326768506,-0.01821487470517028,2.0,153.0,1.0,1.0,0.46000003814697266,0.0410714326768506,-0.01821487470517028,2.0,153.0
0101.HK,2.0,2.0,1.3199996948242188,0.04051564450323257,-0.010324820036482508,18.5,217.33333333333334,2.0,2.0,1.3199996948242188,0.04051564450323257,-0.010324820036482508,18.5,217.33333333333334
0175.HK,3.0,3.0,2.239999771118164,0.038521061261215635,-0.010193142917202646,2.6666666666666665,744.0,3.0,3.0,2.239999771118164,0.038521061261215635,-0.010193142917202646,2.6666666666666665,744.0
0267.HK,1.0,1.0,0.5100002288818359,0.06809082035601975,-0.015667294568308135,34.0,16.0,1.0,1.0,0.5100002288818359,0.06809082035601975,-0.015667294568308135,34.0,16.0
0291.HK,0.0,0.0,0.0,0.0,0.027898597626734863,0.0,12.0,0.0,0.0,0.0,0.0,0.027898597626734863,0.0,12.0
0322.HK,4.0,4.0,2.1200008392333984,0.04362141695871962,0.0010971875687944765,17.75,35.0,4.0,4.0,2.1200008392333984,0.04362141695871962,0.0010971875687944765,17.75,35.0
0330.HK,22.0,11.0,0.5265531539916992,0.022307387110709582,-0.01803924557397599,9.0,0.0,22.0,11.0,0.5265531539916992,0.022307387110709582,-0.01803924557397599,9.0,0.0
0386.HK,7.0,5.0,0.9200000762939453,0.0353846183189979,-0.018908923400318675,10.0,12.285714285714286,7.0,5.0,0.9200000762939453,0.0353846183189979,-0.018908923400318675,10.0,12.285714285714286
0669.HK,2.0,2.0,5.899997711181641,0.06797232445899089,0.022882390949686776,41.5,59.53333333333333,2.0,2.0,5.899997711181641,0.06797232445899089,0.022882390949686776,41.5,59.53333333333333
0688.HK,1.0,1.0,1.1499996185302734,0.04235726094616155,-0.004407553365770735,9.0,5.0,1.0,1.0,1.1499996185302734,0.04235726094616155,-0.004407553365770735,9.0,5.0
0728.HK,8.0,4.0,0.3900003433227539,0.015885961062332202,-0.007128676466096006,9.25,45.666666666666664,8.0,4.0,0.3900003433227539,0.015885961062332202,-0.007128676466096006,9.25,45.666666666666664
0762.HK,5.0,2.0,0.5199999809265137,0.02172096824075313,-0.0280995176274032,30.5,8.5,5.0,2.0,0.5199999809265137,0.02172096824075313,-0.0280995176274032,30.5,8.5
0823.HK,0.0,0.0,0.0,0.0,-0.018230038252506776,0.0,8.775,0.0,0.0,0.0,0.0,-0.018230038252506776,0.0,8.775
0857.HK,6.0,6.0,0.8799998760223389,0.043179581505438075,-0.01511393708055762,15.833333333333334,6.333333333333333,6.0,6.0,0.8799998760223389,0.043179581505438075,-0.01511393708055762,15.833333333333334,6.333333333333333
0916.HK,4.0,4.0,1.0400004386901855,0.03560426067474924,0.023901620693969523,88.75,61.46666666666667,4.0,4.0,1.0400004386901855,0.03560426067474924,0.023901620693969523,88.75,61.46666666666667
1038.HK,2.0,2.0,4.200000762939453,0.0355179768536106,-0.03281439430163816,8.5,17.0,2.0,2.0,4.200000762939453,0.0355179768536106,-0.03281439430163816,8.5,17.0
1044.HK,1.0,1.0,2.0999984741210938,0.03179407081140484,-0.035021463344689675,8.0,0.0,1.0,1.0,2.0999984741210938,0.03179407081140484,-0.035021463344689675,8.0,0.0
