,,,,,,,,Exit after 3 days,,,,,,
,Long Entry,Long Exit,Profits(Per Share),Return ratios,Sharpen ratios,Average days,Average days to achieve return ratio,Long Entry,Long Exit,Profits(Per Share),Return ratios,Sharpen ratios,Average days,Average days to achieve return ratio
0005.HK,29,14,26.5500145,0.018445196,-0.028238294,5.928571429,7.5,29,14,26.5500145,0.018445196,-0.028238294,5.928571429,7.5
1299.HK,21,9,30.04999924,0.019336572,0.011997324,4.111111111,57.76923077,21,9,30.04999924,0.019336572,0.011997324,4.111111111,57.76923077
0700.HK,26,17,329.6999969,0.03372959,-0.002658345,5.176470588,58.07692308,26,17,329.6999969,0.03372959,-0.002658345,5.176470588,58.07692308
0941.HK,30,16,33.74998474,0.019855852,-0.026200289,10.5625,74,30,16,33.74998474,0.019855852,-0.026200289,10.5625,74
3988.HK,29,12,1.259999514,0.01447111,-0.027942896,13.75,2.25,29,12,1.259999514,0.01447111,-0.027942896,13.75,2.25
0939.HK,36,17,3.809999943,0.018465565,-0.02787228,11.58823529,3,36,17,3.809999943,0.018465565,-0.02787228,11.58823529,3
1398.HK,35,14,2.609999657,0.014837974,-0.031529534,10.28571429,3.8,35,14,2.609999657,0.014837974,-0.031529534,10.28571429,3.8
2318.HK,31,14,39.80000305,0.019161332,-0.017686296,7.142857143,124.8333333,31,14,39.80000305,0.019161332,-0.017686296,7.142857143,124.8333333
0388.HK,14,7,89.19996643,0.019530559,0.014055777,20.14285714,32.125,14,7,89.19996643,0.019530559,0.014055777,20.14285714,32.125
0883.HK,24,11,5.310000896,0.022506679,-0.000268485,7.363636364,22.875,24,11,5.310000896,0.022506679,-0.000268485,7.363636364,22.875
0011.HK,24,12,85.19998932,0.024315065,-0.026748832,9.25,46.66666667,24,12,85.19998932,0.024315065,-0.026748832,9.25,46.66666667
0027.HK,23,14,29.54998398,0.025790952,0.002346689,5.142857143,112.8571429,23,14,29.54998398,0.025790952,0.002346689,5.142857143,112.8571429
0066.HK,20,10,15.80000305,0.018934631,-0.014256679,11.8,41.77777778,20,10,15.80000305,0.018934631,-0.014256679,11.8,41.77777778
0083.HK,17,12,5.31000042,0.027333095,-0.018214875,12.58333333,102,17,12,5.31000042,0.027333095,-0.018214875,12.58333333,102
0101.HK,31,13,9.240000725,0.017416219,-0.01032482,10.69230769,108.8333333,31,13,9.240000725,0.017416219,-0.01032482,10.69230769,108.8333333
0175.HK,25,16,12.63999844,0.030569055,-0.010193143,4.125,372,25,16,12.63999844,0.030569055,-0.010193143,4.125,372
0267.HK,23,12,4.439998627,0.021774305,-0.015667295,12.5,56.75,23,12,4.439998627,0.021774305,-0.015667295,12.5,56.75
0291.HK,20,14,30.05000114,0.031971488,0.027898598,12.42857143,35.23809524,20,14,30.05000114,0.031971488,0.027898598,12.42857143,35.23809524
0322.HK,22,13,8.370000839,0.030366799,0.001097188,3.461538462,28.75,22,13,8.370000839,0.030366799,0.001097188,3.461538462,28.75
0330.HK,40,17,1.051516116,0.019971832,-0.018039246,6.647058824,0,40,17,1.051516116,0.019971832,-0.018039246,6.647058824,0
0386.HK,30,13,2.170000315,0.016573744,-0.018908923,4.923076923,7.909090909,30,13,2.170000315,0.016573744,-0.018908923,4.923076923,7.909090909
0669.HK,24,9,25.60000229,0.013144047,0.022882391,12.77777778,20.61363636,24,9,25.60000229,0.013144047,0.022882391,12.77777778,20.61363636
0688.HK,19,13,13.51999855,0.03255556,-0.004407553,4.923076923,5.5,19,13,13.51999855,0.03255556,-0.004407553,4.923076923,5.5
0728.HK,40,17,1.910000324,0.016531074,-0.007128676,8.352941176,45.66666667,40,17,1.910000324,0.016531074,-0.007128676,8.352941176,45.66666667
0762.HK,30,11,2.580000639,0.015825312,-0.028099518,14.36363636,5.666666667,30,11,2.580000639,0.015825312,-0.028099518,14.36363636,5.666666667
0823.HK,20,11,29.95000458,0.021345595,-0.018230038,9.909090909,31.81818182,20,11,29.95000458,0.021345595,-0.018230038,9.909090909,31.81818182
0857.HK,30,19,3.010000467,0.028023466,-0.015113937,8.105263158,6.333333333,30,19,3.010000467,0.028023466,-0.015113937,8.105263158,6.333333333
0916.HK,29,18,5.640000105,0.028549735,0.023901621,3.444444444,46.1,29,18,5.640000105,0.028549735,0.023901621,3.444444444,46.1
1038.HK,24,11,21.34999466,0.017152723,-0.032814394,11.18181818,17,24,11,21.34999466,0.017152723,-0.032814394,11.18181818,17
1044.HK,30,13,27.54999161,0.018138121,-0.035021463,16.69230769,1,30,13,27.54999161,0.018138121,-0.035021463,16.69230769,1
