Date,Open,High,Low,Close,Adj Close,Volume,RSI,Middle Band,Upper Band,Lower Band,touch_upper,touch_lower,Long Entry,Long Exit,Short Entry,Short Exit,Long Profit,Short Profit,Balance,Daily Return
2018-01-02,80.55000305175781,81.30000305175781,80.44999694824219,81.30000305175781,64.17298126220703,37060582,,,,,False,False,False,False,False,False,0.0,0.0,0.0,
2018-01-03,81.30000305175781,81.44999694824219,80.80000305175781,80.94999694824219,63.8967170715332,21680762,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.00430511796282218
2018-01-04,80.9000015258789,81.05000305175781,80.3499984741211,80.5,63.541500091552734,17205111,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.005558949539305136
2018-01-05,81.05000305175781,81.19999694824219,80.5999984741211,80.80000305175781,63.778316497802734,15902273,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.003726745984569124
2018-01-08,80.5,80.80000305175781,80.05000305175781,80.5,63.541500091552734,21354440,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.0037129089161747064
2018-01-09,80.19999694824219,81.0999984741211,80.1500015258789,80.94999694824219,63.8967170715332,20734671,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.005590024201766353
2018-01-10,80.94999694824219,82.4000015258789,80.94999694824219,82.0999984741211,64.80442810058594,70547231,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.014206319570514658
2018-01-11,83.94999694824219,84.30000305175781,83.55000305175781,84.05000305175781,66.34366607666016,54006301,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.023751578731775247
2018-01-12,84.19999694824219,84.4000015258789,83.25,83.69999694824219,66.0673828125,29034596,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.004164260449819324
2018-01-15,84.9000015258789,84.94999694824219,83.80000305175781,84.0999984741211,66.38311767578125,44252539,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.004778990925486504
2018-01-16,84.30000305175781,84.80000305175781,84.0,84.80000305175781,66.93565368652344,27343839,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.00832347907654385
2018-01-17,84.94999694824219,85.0999984741211,84.69999694824219,85.05000305175781,67.13298797607422,38403425,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.0029481131014512663
2018-01-18,86.0,86.0,85.05000305175781,85.44999694824219,67.4487075805664,35014328,,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.004703043881620461
2018-01-19,85.5999984741211,85.94999694824219,85.05000305175781,85.4000015258789,67.40926361083984,25476127,,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.000585083957271082
2018-01-22,85.25,85.4000015258789,84.69999694824219,85.0,67.0935287475586,26645050,74.66659613729627,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.004683858533160445
2018-01-23,85.5,85.69999694824219,85.30000305175781,85.69999694824219,67.64606475830078,29559695,80.25475354645083,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.008235258214613905
2018-01-24,85.5999984741211,85.8499984741211,85.19999694824219,85.8499984741211,67.76448059082031,20120832,85.4304033468237,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.0017503095825019965
2018-01-25,85.9000015258789,85.94999694824219,85.3499984741211,85.5,67.48818969726562,22596907,80.92100772174416,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.004076860574745322
2018-01-26,85.3499984741211,85.69999694824219,85.30000305175781,85.69999694824219,67.64606475830078,26625573,84.66664632161458,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.002339145593475811
2018-01-29,85.55000305175781,85.6500015258789,85.05000305175781,85.05000305175781,67.13298797607422,28960637,76.62342680831586,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.007584526483436549
2018-01-30,84.80000305175781,85.1500015258789,83.8499984741211,84.0999984741211,66.38311767578125,39732326,63.333333333333336,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.01116995348087857
2018-01-31,83.44999694824219,84.5,83.0,84.19999694824219,66.46206665039062,36516373,51.32738104883359,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.0011890425200407062
2018-02-01,83.5,84.1500015258789,83.44999694824219,84.05000305175781,66.34366607666016,33272295,53.21107595822718,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.0017814002603417922
2018-02-02,83.55000305175781,84.0,83.25,83.69999694824219,66.0673828125,21777829,46.29627274872243,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.004164260449819324
2018-02-05,82.0,83.30000305175781,81.80000305175781,82.8499984741211,65.39645385742188,48503623,32.43232840330636,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.010155298746865049
2018-02-06,80.0,80.94999694824219,79.5999984741211,80.0999984741211,63.22575759887695,114487484,19.25455419110685,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.0331925172075771
2018-02-07,81.05000305175781,81.6500015258789,80.0,80.0,63.14684295654297,73847401,14.83866013786097,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.0012484204247944497
2018-02-08,80.1500015258789,80.9000015258789,80.05000305175781,80.5,63.541500091552734,47829794,20.121902996774253,,,,False,False,False,False,False,False,0.0,0.0,0.0,0.006250000000000089
2018-02-09,79.30000305175781,80.05000305175781,77.9000015258789,79.80000305175781,62.98897933959961,99014081,19.41172774681135,,,,False,False,False,False,False,False,0.0,0.0,0.0,-0.008695614263878104
2018-02-12,80.0,80.3499984741211,79.4000015258789,79.4000015258789,62.673240661621094,40033784,11.585343727931715,83.03833312988282,85.23306331400306,80.84360294576257,False,True,False,False,False,False,0.0,0.0,0.0,-0.00501255025791747
2018-02-13,79.5999984741211,80.44999694824219,79.5999984741211,79.80000305175781,62.98897933959961,29293870,14.201165267340642,82.98833312988282,85.24036950404503,80.7362967557206,False,True,False,False,False,False,0.0,0.0,0.0,0.005037802496118848
2018-02-14,79.8499984741211,82.19999694824219,79.8499984741211,81.9000015258789,64.64659118652344,47649359,32.35293017675531,83.01999994913737,85.248946930713,80.79105296756174,False,False,False,False,False,False,0.0,0.0,0.0,0.026315769346011875
2018-02-15,83.0,83.75,82.69999694824219,83.55000305175781,65.94898223876953,36584847,40.772553549864185,83.1216667175293,85.30070758803629,80.9426258470223,False,False,False,False,False,False,0.0,0.0,0.0,0.020146538402169956
2018-02-20,83.75,85.0,80.8499984741211,80.94999694824219,63.8967170715332,84846341,34.92645491366446,83.12666651407878,85.30036217383272,80.95297085432483,False,True,False,False,False,False,0.0,0.0,0.0,-0.031119162280640045
2018-02-21,81.5,82.05000305175781,80.69999694824219,81.5999984741211,64.40978240966797,52960544,40.60150591593442,83.16333312988282,85.30015833631417,81.02650792345146,False,False,False,False,False,False,0.0,0.0,0.0,0.00802966708318098
2018-02-22,79.80000305175781,80.25,79.4000015258789,79.55000305175781,64.0853271484375,37646052,34.754118372182376,83.11666666666666,85.31781528029626,80.91551805303706,False,True,False,False,False,False,0.0,0.0,0.0,-0.025122493390896672
2018-02-23,79.9000015258789,79.94999694824219,79.5999984741211,79.6500015258789,64.16588592529297,23199947,35.5263151290346,83.03500010172526,85.31905783024386,80.75094237320666,False,True,False,False,False,False,0.0,0.0,0.0,0.0012570517949073157
2018-02-26,80.0999984741211,80.0999984741211,79.4000015258789,79.55000305175781,64.0853271484375,24170091,36.1204189176362,82.88500010172525,85.24655018412415,80.52345001932636,False,True,False,False,False,False,0.0,0.0,0.0,-0.0012554735995654598
